"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
2008,301359.5248394322447759152970345622458502,0.3878485853169539861886412666763893440131,229088.4561462959719864311732687752596684,747073.1708989607899304367545075023690598,0.1421851191798503617463835280855040329754,208196.4681670614155823865444465346305344,419355.8291527195256906953235319025661538,0.2520061796543944226048039474129497664315,207133.3104243324307922200510853865641214,1048432.69573839303470635205154206461491,0.1610730535593398906663784447294111770819,330993.5412779052382461342724101012988518,162751.1327610855009187762062145063237502,0.4101039203276141150029821847149034808634,130819.9600628390651861308366477910967214,806819.5785551969887572883593216284599306,0.161886204158245415679054170451806084668,256001.399665198043354484493179910366264,,,
2009,772748.597741389214317981776876383702946,0.2846836156684639367374206662492491272369,431178.1750231980093608233500178977884109,584383.5806162997299313247797778801522672,0.1975727783305113944212547852045296300775,226298.243760865654785938714361827781334,434370.6546399111691518614135261346412591,0.2662504955345802585852328729044532508605,226676.7480053704899470267579888272966476,1357132.17835768894424930655665426385521,0.1648850721925814071372163822178497220839,438590.8409186303034947218887470537525704,185619.9832097954386620650175131250595882,0.4410509824480942162827578916528211964413,160461.0368750909010419195553481699355001,1099410.30291325419919187007730136664899,0.1823630122983441543582608575167407582551,392963.878198548253299315595855730823664,,,
2010,814551.5086353626804515280966023220678367,0.2628818714125608078891503186042496058498,419696.4169058981002743843504846609459036,820822.4522667739932122636032214325226726,0.1835183644427513491322916178441372256123,295246.5481182579377452538117020671243798,658849.630004849205972432206838619099771,0.2227230685645241299141810638933481013572,287612.3821818715129424508222607927083665,1635373.96090213667366379169982375459051,0.139585506103983114230841069693979595596,447418.023923528473263848381393423025418,65529.609282045605264246916835294661922,0.6946610157165021702388389044081770484657,89220.8952890078042414942917245871015427,998353.8601826117788092434353229979189229,0.2342099870129681219723384063216815889482,458295.9114703235500638710359924149863528,,,
2011,551802.608964738609753569500502819060728,0.2876378344662225837133048632737668344176,311089.8426910412989084629247881060356795,827343.5611054594522969778237543918404403,0.1754628462704935597737638223293711594215,284529.3899072546562084164805564769767956,475030.0948329067997070983125938672331918,0.2032963780418413449470157658284084231785,189280.9195711886366742779531202527901548,1379146.17007019806205054732425721090117,0.1342979167767256482899685578457834500612,363024.256839213657891056866529513708499,64680.1712762660938888582082219716613009,0.9999999999999999999999999999999999999985,126773.1357014815440221620881150644561496,850718.0749219315260859454894793097506527,0.1906535754482969089440132378084377786762,317897.1876574224144586374821022146721459,,,
2012,401455.9042286055910513946264254344558129,0.2692031192032490088780292319951240091005,211823.4360161668003981592258712233895381,936900.7785387821169067032125054036511372,0.145980242257729590049585814936829050065,268067.2451401918718272518210207277715526,664384.0862707404778114650237797515242404,0.162049758763755106673824884316439700621,211020.0305770366569608165564575916151969,1338356.68276738770795809783893083810695,0.1314622222008839608660766544826177983967,344848.9534834484058707272212998582778212,77455.2178072324867660340999218140762873,0.6928726012922815185287769629921184089727,105186.5325616845400560721973280914726887,588155.1885131854130231203603264821132536,0.2398726734947214037909095693730181351617,276521.4206969612968982454588659319906259,,,
2013,497053.9894626189343611167333869009298562,0.284680142564135673998621050725720641777,277342.7451412898685986184417224813222774,802217.3084563189421611080212613761135713,0.2225066208664805156750679725532990196352,349857.3785102284806508022926714598817322,601184.2269613311395738654152457588168579,0.2621498424982593014475179954303413383095,308896.6868042874333793359580590990486405,1299271.29791893787652222475464827704343,0.1569514999779346950053637402218849478238,399688.2550098445069085345782438064960158,309743.5478797739192208083606665084610495,0.4230563440199566724616539278218999420969,256836.3869815836104347374143359004371641,546538.912203485501981391408014265868771,0.3411857072217114412778543733853826037929,365483.6799572888752417993660206068843142,,,
2014,7782363.62337293147451010773598406642113,0.9654642156422755692390467037764123670464,14726643.43930614093044703488492073635515,322634.4652040207976996756317016683963263,0.3769208033479377468077985523406252494645,238350.9779523663020560452098182932430176,322634.4652040207976996756317016683963263,0.3769208033479377468077985523406252494645,238350.9779523663020560452098182932430176,8104998.08857695227220978336768573481748,0.9247881212753845368387872036348949728833,14690995.6723402983048341478982636441803,4893020.37141757879064544033596306988585,0.9832311896238950070551721477105912101942,9429501.67166000283438937269266007545028,928004.2143217222792219263709375531317229,0.6907167307293653955079360585161107717476,1256336.5525579717493088563005209933628,,,
2015,366555.1424082342628840140515799367077531,0.2983939955874945947651988065740549797314,214380.5929508187705942903449614854112284,549125.837833795692856278652016378083799,0.2321948173246795542041991610169110789615,249908.1802639964071141505128973124915805,331828.5742034107688625525111753057993533,0.2311193639645819298696802687346331152943,150316.3376697260966030521153721968952,915680.980242029955740292703596314791552,0.2081181370946375954482979916153476622025,373516.8467706873421232283672529316738071,0,0,0,307526.5855051376605946522790514644176996,0.250913753611022417149749683129094559809,151238.7938123792524766214940647164343349,,,
2016,120866.6718697277964636179260826821606819,0.7941827347113863251963567354528038159749,188140.8390418898531119266286331715108547,307008.7444803025528888804361012119733819,0.272330688856007686607181016413954189396,163871.4896235121299420025126614962750401,155024.899725911185190292330601734706418,0.3722132344392187299864935908834132816514,113096.5459173700326042856921071042020236,427875.4163500303493524983621838941340638,0.2394344474134688562724543372244098027653,200798.303196131770945327840592211112432,60859.7095541664290630677622662905111674,0.6793817616217999822708491764492719458316,81040.0743098533323800470135490625703516,346268.3321075337537910404433266017431295,0.4265676713574863065959199233188284591628,289505.4771402247088077750267376586185908,,,
2017,91214.9337482130457507597701723577642138,0.5443629470562737217773916146097552064307,97321.8990954112262099423489449720605866,840278.3271488291343358226575473211911095,0.194877034943794795676941265833901954342,320951.8598876997882964740071838438284927,685819.8451436854514691477599171377071848,0.2125061978240786152759467520386408358753,285652.2966602146450545900219735192485928,931493.2608970421800865824277196789553205,0.1687930801100894669328612055825491005402,308170.0485528617016604563153491958064749,29984.499311232138870720737479707174544,0.9999999999999999999999999999999999999967,58769.618650014992186612645460226062106,364569.3554504580210485299377287196004759,0.2476803638360305309629363448471994191334,176981.4743788157026400619154573181927607,,,
2018,35533.0890723000873813410025946527457873,1,69644.8545817081712674283650855193817431,353730.7495810785893399083916444263321673,0.2792254687127213771498213649168571088292,193590.4433257627224683660951462428972033,294773.1590528553360679272801058214790312,0.3118836316010558574691987786382604285439,180192.4497540835469278574465159150206762,389263.8386533786767212493942390790779545,0.2496922646496325349811450992925945027444,190504.4920623597231486478582774134722511,81743.1244837777677237368052882741569681,1,160216.5239882044247385241383650173476575,551668.0344353749536154811720100717919256,0.3017501911589957943007769374107287405917,326273.2323004764588015572414866915480817,,,
2019,95210.6319869852209704597871127325358132,0.5226609366673867029634907022403686773532,97535.2410662226285517252788895029362343,213977.336195531743075276268725715055249,0.3292651396933468123579638438729878272099,138092.3438875187092800023042930429009385,124114.1219728232360187528836799031868007,0.426851058577036924520628009649449687691,103837.358922979790477754216629233349531,309187.9681825169640457360558384475910622,0.2457399274929911560332749409760196101823,148920.464610438871562008972158217359289,91225.5402287428135144998970030254614395,0.5225063626756027703192382525961137280846,93425.2134077530747300065303937438531023,428505.07142385741826641647622638855179,0.3701983700840268776781071114060689649163,310918.4828671490156082085822490336592768,,,
2021,1409652.70231466949391681508088536977305,0.2081572819025645979382200263942070392687,575121.7708832362002184891918307264895392,512440.9756724522601557831373357782626668,0.2343060390684562085042301056083887108121,235333.3099217273368700693950926471487707,316802.5238852190170632046130396017341151,0.2611392688109990907363631300322714679443,162149.9757119357311409462016146599049373,1922093.67798712175407259821822114803571,0.1506499242819247456002655407243395342752,567544.0034209912273757159885244632255357,153746.5524674199697090366500284145754448,0.816839726826681636180902294388158008045,246149.1321593415509285950574423837881957,2021531.77638846523951508867220441371838,0.4564533223927762322184699269908178304783,1808560.39548396808077600108685082027466,,,
